Image_name,Open,Popen,Close,Nolabel
1,8,0,0,0
2,13,0,0,0
20170419_1_01,9,0,0,0
20170419_1_02,11,1,0,0
20170419_1_03,6,1,0,0
20170419_1_04,12,0,0,0
20170419_1_05,7,1,1,0
20170419_1_06,8,3,0,0
20170419_2_01,0,10,1,0
20170419_2_02,2,9,1,0
20170419_2_03,9,0,0,0
20170419_2_04,8,0,0,0
20170419_2_05,8,0,0,0
20170419_2_06,6,0,1,0
20170419_2_07,5,2,1,0
20170419_3_01,9,0,1,0
20170419_3_02,7,3,0,0
20170419_3_03,4,2,0,0
20170419_3_04,11,0,1,0
20170419_3_05,8,0,0,0
20170419_3_06,8,0,0,0
20170419_3_07,7,0,0,0
20170419_3_08,6,0,1,0
3,0,10,0,1
4,0,0,9,0
